"start_station_name","end_station_name","total_trips_2014","avg_duration.x","total_trips_2015","avg_duration.y","trip_change","percent_change"
"2nd at Folsom","2nd at South Park",6,177.5,1,146,-5,-83.3333333333333
"2nd at Folsom","2nd at Townsend",5,240.2,11,270.727272727273,6,120
"2nd at Folsom","5th at Howard",3,370,4,320,1,33.3333333333333
"2nd at Folsom","Beale at Market",5,729,NA,NA,NA,NA
"2nd at Folsom","Broadway St at Battery St",NA,NA,2,799,NA,NA
"2nd at Folsom","Civic Center BART (7th at Market)",4,641.75,NA,NA,NA,NA
"2nd at Folsom","Clay at Battery",1,580,NA,NA,NA,NA
"2nd at Folsom","Commercial at Montgomery",2,525,7,402.714285714286,5,250
"2nd at Folsom","Davis at Jackson",4,1089.5,NA,NA,NA,NA
"2nd at Folsom","Embarcadero at Bryant",2,238,2,289,0,0
"2nd at Folsom","Embarcadero at Folsom",5,314.8,4,277.5,-1,-20
"2nd at Folsom","Embarcadero at Sansome",2,3639.5,6,990.666666666667,4,200
"2nd at Folsom","Embarcadero at Vallejo",2,4852.5,NA,NA,NA,NA
"2nd at Folsom","Golden Gate at Polk",NA,NA,2,15218.5,NA,NA
"2nd at Folsom","Grant Avenue at Columbus Avenue",NA,NA,5,575.6,NA,NA
"2nd at Folsom","Harry Bridges Plaza (Ferry Building)",9,632.333333333333,12,418.583333333333,3,33.3333333333333
"2nd at Folsom","Howard at 2nd",4,995.25,5,136.8,1,25
"2nd at Folsom","Market at 10th",2,783,7,783.428571428571,5,250
"2nd at Folsom","Market at 4th",12,436.916666666667,4,363.5,-8,-66.6666666666667
"2nd at Folsom","Market at Sansome",24,325.916666666667,20,208.25,-4,-16.6666666666667
"2nd at Folsom","Mechanics Plaza (Market at Battery)",1,323,NA,NA,NA,NA
"2nd at Folsom","Post at Kearny",NA,NA,4,555.25,NA,NA
"2nd at Folsom","Powell Street BART",13,477.153846153846,NA,NA,NA,NA
"2nd at Folsom","San Francisco Caltrain (Townsend at 4th)",22,391.409090909091,34,433.029411764706,12,54.5454545454545
"2nd at Folsom","San Francisco Caltrain 2 (330 Townsend)",8,366.125,5,449.4,-3,-37.5
"2nd at Folsom","South Van Ness at Market",1,1141,1,979,0,0
"2nd at Folsom","Spear at Folsom",2,214,3,265,1,50
"2nd at Folsom","Steuart at Market",3,2047.66666666667,2,522.5,-1,-33.3333333333333
"2nd at Folsom","Temporary Transbay Terminal (Howard at Beale)",6,320.5,6,194.833333333333,0,0
"2nd at Folsom","Townsend at 7th",NA,NA,10,604.4,NA,NA
"2nd at Folsom","Washington at Kearny",5,621.4,NA,NA,NA,NA
"2nd at South Park","2nd at Folsom",4,384.5,1,527,-3,-75
"2nd at South Park","2nd at South Park",3,6867.66666666667,1,533,-2,-66.6666666666667
"2nd at South Park","2nd at Townsend",1,1438,5,872,4,400
"2nd at South Park","5th at Howard",12,675.166666666667,1,995,-11,-91.6666666666667
"2nd at South Park","Beale at Market",3,487,2,896,-1,-33.3333333333333
"2nd at South Park","Broadway St at Battery St",NA,NA,1,1058,NA,NA
"2nd at South Park","Civic Center BART (7th at Market)",1,6749,NA,NA,NA,NA
"2nd at South Park","Clay at Battery",NA,NA,2,899.5,NA,NA
"2nd at South Park","Commercial at Montgomery",3,746.666666666667,6,1042.5,3,100
"2nd at South Park","Davis at Jackson",NA,NA,5,840.2,NA,NA
"2nd at South Park","Embarcadero at Bryant",1,181,2,418,1,100
"2nd at South Park","Embarcadero at Folsom",3,330.666666666667,7,683.142857142857,4,133.333333333333
"2nd at South Park","Embarcadero at Sansome",3,1338,1,2889,-2,-66.6666666666667
"2nd at South Park","Embarcadero at Vallejo",2,707,5,954.6,3,150
"2nd at South Park","Golden Gate at Polk",3,979.666666666667,NA,NA,NA,NA
"2nd at South Park","Grant Avenue at Columbus Avenue",NA,NA,2,5761,NA,NA
"2nd at South Park","Harry Bridges Plaza (Ferry Building)",9,495.666666666667,22,696.636363636364,13,144.444444444444
"2nd at South Park","Howard at 2nd",1,248,7,476.857142857143,6,600
"2nd at South Park","Market at 10th",1,878,NA,NA,NA,NA
"2nd at South Park","Market at 4th",7,2487,4,886.25,-3,-42.8571428571429
"2nd at South Park","Market at Sansome",44,397.886363636364,25,629.72,-19,-43.1818181818182
"2nd at South Park","Mechanics Plaza (Market at Battery)",4,471.5,3,681.666666666667,-1,-25
"2nd at South Park","Post at Kearny",5,2251,5,664.2,0,0
"2nd at South Park","Powell at Post (Union Square)",2,814,3,1110.33333333333,1,50
"2nd at South Park","Powell Street BART",9,743.888888888889,1,883,-8,-88.8888888888889
"2nd at South Park","San Francisco Caltrain (Townsend at 4th)",24,3565.54166666667,13,554.846153846154,-11,-45.8333333333333
"2nd at South Park","San Francisco Caltrain 2 (330 Townsend)",9,293.333333333333,6,747.666666666667,-3,-33.3333333333333
"2nd at South Park","San Francisco City Hall",NA,NA,2,1663.5,NA,NA
"2nd at South Park","South Van Ness at Market",5,1278.2,NA,NA,NA,NA
"2nd at South Park","Spear at Folsom",NA,NA,2,630.5,NA,NA
"2nd at South Park","Steuart at Market",6,762.833333333333,4,1271.5,-2,-33.3333333333333
"2nd at South Park","Temporary Transbay Terminal (Howard at Beale)",11,392.454545454545,3,691.666666666667,-8,-72.7272727272727
"2nd at South Park","Townsend at 7th",3,459,7,892.428571428571,4,133.333333333333
"2nd at South Park","Washington at Kearny",NA,NA,2,993.5,NA,NA
"2nd at South Park","Yerba Buena Center of the Arts (3rd @ Howard)",1,388,2,522.5,1,100
"2nd at Townsend","2nd at Folsom",5,264.8,9,329.888888888889,4,80
"2nd at Townsend","2nd at South Park",1,281,NA,NA,NA,NA
"2nd at Townsend","2nd at Townsend",5,9745.4,7,1040.42857142857,2,40
"2nd at Townsend","5th at Howard",4,553.5,3,1145.66666666667,-1,-25
"2nd at Townsend","Beale at Market",5,590.4,2,635,-3,-60
"2nd at Townsend","Broadway St at Battery St",1,535,6,762.166666666667,5,500
"2nd at Townsend","Civic Center BART (7th at Market)",2,1052.5,NA,NA,NA,NA
"2nd at Townsend","Clay at Battery",8,685.75,11,899.727272727273,3,37.5
"2nd at Townsend","Commercial at Montgomery",4,1016,NA,NA,NA,NA
"2nd at Townsend","Davis at Jackson",9,1173.88888888889,14,700.785714285714,5,55.5555555555556
"2nd at Townsend","Embarcadero at Bryant",2,292,4,279.75,2,100
"2nd at Townsend","Embarcadero at Folsom",9,370.555555555556,11,441.727272727273,2,22.2222222222222
"2nd at Townsend","Embarcadero at Sansome",11,1473.36363636364,10,1056.3,-1,-9.09090909090909
"2nd at Townsend","Embarcadero at Vallejo",4,932.5,8,885.75,4,100
"2nd at Townsend","Golden Gate at Polk",NA,NA,1,1360,NA,NA
"2nd at Townsend","Grant Avenue at Columbus Avenue",6,2704,3,1137,-3,-50
"2nd at Townsend","Harry Bridges Plaza (Ferry Building)",42,517.190476190476,78,783.320512820513,36,85.7142857142857
"2nd at Townsend","Howard at 2nd",10,329.3,11,352.454545454545,1,10
"2nd at Townsend","Market at 10th",3,1477,1,775,-2,-66.6666666666667
"2nd at Townsend","Market at 4th",3,796.333333333333,12,703.5,9,300
"2nd at Townsend","Market at Sansome",17,522.294117647059,25,479.56,8,47.0588235294118
"2nd at Townsend","Mechanics Plaza (Market at Battery)",2,567,9,625,7,350
"2nd at Townsend","Post at Kearny",3,580,4,957.75,1,33.3333333333333
"2nd at Townsend","Powell at Post (Union Square)",2,2046.5,3,880.666666666667,1,50
"2nd at Townsend","Powell Street BART",1,771,2,1357,1,100
"2nd at Townsend","San Francisco Caltrain (Townsend at 4th)",19,361.78947368421,17,269.411764705882,-2,-10.5263157894737
"2nd at Townsend","San Francisco Caltrain 2 (330 Townsend)",20,240.85,1,270,-19,-95
"2nd at Townsend","San Francisco City Hall",NA,NA,2,1799,NA,NA
"2nd at Townsend","South Van Ness at Market",NA,NA,3,1454,NA,NA
"2nd at Townsend","Spear at Folsom",17,360.941176470588,5,408.6,-12,-70.5882352941177
"2nd at Townsend","Steuart at Market",28,517.107142857143,39,1382.17948717949,11,39.2857142857143
"2nd at Townsend","Temporary Transbay Terminal (Howard at Beale)",18,485.833333333333,11,468.909090909091,-7,-38.8888888888889
"2nd at Townsend","Townsend at 7th",9,443.444444444444,11,503,2,22.2222222222222
"2nd at Townsend","Washington at Kearny",2,822.5,2,839.5,0,0
"2nd at Townsend","Yerba Buena Center of the Arts (3rd @ Howard)",1,394,5,541.4,4,400
"5th at Howard","2nd at Folsom",6,391,3,378.666666666667,-3,-50
"5th at Howard","2nd at South Park",1,402,2,292.5,1,100
"5th at Howard","2nd at Townsend",2,653,1,603,-1,-50
"5th at Howard","5th at Howard",3,4262,2,12212,-1,-33.3333333333333
"5th at Howard","Beale at Market",NA,NA,3,584,NA,NA
"5th at Howard","Broadway St at Battery St",NA,NA,3,1007.66666666667,NA,NA
"5th at Howard","Civic Center BART (7th at Market)",4,686.25,2,351.5,-2,-50
"5th at Howard","Clay at Battery",3,716,2,703,-1,-33.3333333333333
"5th at Howard","Commercial at Montgomery",6,411.333333333333,4,567,-2,-33.3333333333333
