"start_station_name","end_station_name","total_trips","avg_duration"
"Harry Bridges Plaza (Ferry Building)","Embarcadero at Sansome",84,3552.77380952381
"2nd at Townsend","Harry Bridges Plaza (Ferry Building)",78,783.320512820513
"Townsend at 7th","San Francisco Caltrain 2 (330 Townsend)",74,966.432432432432
"Embarcadero at Sansome","Steuart at Market",68,407.323529411765
"Harry Bridges Plaza (Ferry Building)","2nd at Townsend",58,668.189655172414
"Harry Bridges Plaza (Ferry Building)","San Francisco Caltrain (Townsend at 4th)",50,767.36
"Powell Street BART","San Francisco Caltrain 2 (330 Townsend)",48,479.479166666667
"Temporary Transbay Terminal (Howard at Beale)","San Francisco Caltrain (Townsend at 4th)",48,637.479166666667
"Steuart at Market","2nd at Townsend",47,616.914893617021
"Embarcadero at Folsom","San Francisco Caltrain (Townsend at 4th)",46,638.391304347826
"Market at 10th","San Francisco Caltrain 2 (330 Townsend)",46,585.565217391304
"San Francisco Caltrain 2 (330 Townsend)","Townsend at 7th",46,248.739130434783
"San Francisco Caltrain 2 (330 Townsend)","5th at Howard",40,403.775
"2nd at Townsend","Steuart at Market",39,1382.17948717949
"Mountain View Caltrain Station","Mountain View City Hall",39,272.410256410256
"San Francisco Caltrain (Townsend at 4th)","Harry Bridges Plaza (Ferry Building)",39,681.358974358974
"San Francisco Caltrain 2 (330 Townsend)","Powell Street BART",39,550.820512820513
"Steuart at Market","Embarcadero at Sansome",39,919.153846153846
"5th at Howard","San Francisco Caltrain 2 (330 Townsend)",38,345.631578947368
"2nd at Folsom","San Francisco Caltrain (Townsend at 4th)",34,433.029411764706
"Embarcadero at Sansome","Harry Bridges Plaza (Ferry Building)",34,480.470588235294
"Mountain View City Hall","Mountain View Caltrain Station",34,4921.47058823529
"Market at 4th","San Francisco Caltrain (Townsend at 4th)",33,502.242424242424
"Townsend at 7th","Civic Center BART (7th at Market)",33,504.909090909091
"Howard at 2nd","San Francisco Caltrain (Townsend at 4th)",31,459.41935483871
"San Francisco Caltrain 2 (330 Townsend)","Harry Bridges Plaza (Ferry Building)",30,3079.23333333333
"Steuart at Market","San Francisco Caltrain (Townsend at 4th)",30,740.166666666667
"San Francisco Caltrain 2 (330 Townsend)","Embarcadero at Folsom",29,599.827586206897
"Spear at Folsom","San Francisco Caltrain (Townsend at 4th)",29,570.51724137931
"Steuart at Market","Embarcadero at Vallejo",29,926.413793103448
"Beale at Market","San Francisco Caltrain (Townsend at 4th)",28,706.607142857143
"Davis at Jackson","San Francisco Caltrain (Townsend at 4th)",28,935.428571428571
"San Francisco Caltrain 2 (330 Townsend)","Market at 10th",28,2248.71428571429
"Market at Sansome","Harry Bridges Plaza (Ferry Building)",27,603.666666666667
"Mountain View Caltrain Station","Castro Street and El Camino Real",27,363.703703703704
"Davis at Jackson","Embarcadero at Sansome",26,654.884615384615
"Embarcadero at Folsom","San Francisco Caltrain 2 (330 Townsend)",26,668.923076923077
"Embarcadero at Sansome","Embarcadero at Sansome",26,2724.92307692308
"San Francisco Caltrain (Townsend at 4th)","Howard at 2nd",26,638.653846153846
"San Francisco Caltrain (Townsend at 4th)","Temporary Transbay Terminal (Howard at Beale)",26,692.538461538462
"San Francisco Caltrain (Townsend at 4th)","Townsend at 7th",26,288.653846153846
"San Francisco Caltrain 2 (330 Townsend)","Steuart at Market",26,781.269230769231
"2nd at South Park","Market at Sansome",25,629.72
"2nd at Townsend","Market at Sansome",25,479.56
"Castro Street and El Camino Real","Mountain View Caltrain Station",25,576.32
"Civic Center BART (7th at Market)","Townsend at 7th",25,475.24
"Embarcadero at Bryant","San Francisco Caltrain (Townsend at 4th)",25,451.64
"Howard at 2nd","San Francisco Caltrain 2 (330 Townsend)",25,496.68
"San Francisco Caltrain (Townsend at 4th)","Davis at Jackson",25,814.32
"San Francisco Caltrain 2 (330 Townsend)","Temporary Transbay Terminal (Howard at Beale)",24,657.541666666667
"Steuart at Market","San Francisco Caltrain 2 (330 Townsend)",24,668.833333333333
"Townsend at 7th","Harry Bridges Plaza (Ferry Building)",24,835.208333333333
"Clay at Battery","San Francisco Caltrain (Townsend at 4th)",23,999.173913043478
"Market at Sansome","2nd at South Park",23,169.173913043478
"San Jose Diridon Caltrain Station","Santa Clara at Almaden",23,270.391304347826
"2nd at South Park","Harry Bridges Plaza (Ferry Building)",22,696.636363636364
"Beale at Market","Broadway St at Battery St",22,325.727272727273
"Market at Sansome","San Francisco Caltrain (Townsend at 4th)",22,848.363636363636
"Broadway St at Battery St","San Francisco Caltrain (Townsend at 4th)",21,936.666666666667
"Embarcadero at Vallejo","Steuart at Market",21,346.142857142857
"Grant Avenue at Columbus Avenue","Market at Sansome",21,396.238095238095
"Market at 4th","Harry Bridges Plaza (Ferry Building)",21,1171.14285714286
"San Francisco Caltrain (Townsend at 4th)","Embarcadero at Folsom",21,630.142857142857
"San Francisco Caltrain (Townsend at 4th)","Market at 10th",21,801.238095238095
"San Francisco Caltrain 2 (330 Townsend)","Market at Sansome",21,624.619047619048
"Santa Clara at Almaden","San Jose Diridon Caltrain Station",21,267.333333333333
"2nd at Folsom","Market at Sansome",20,208.25
"Market at 4th","Market at 10th",20,434.75
"Post at Kearny","San Francisco Caltrain (Townsend at 4th)",20,617.1
"San Francisco Caltrain (Townsend at 4th)","Embarcadero at Bryant",20,449.95
"Steuart at Market","Townsend at 7th",20,901.8
"Evelyn Park and Ride","Mountain View Caltrain Station",19,269.526315789474
