"station_name","total_trips_2014","total_trips_2015","trip_change","percent_change"
"2nd at Folsom",153,157,4,2.61437908496732
"2nd at South Park",180,152,-28,-15.5555555555556
"2nd at Townsend",273,330,57,20.8791208791209
"5th at Howard",111,130,19,17.1171171171171
"Adobe on Almaden",11,13,2,18.1818181818182
"Arena Green / SAP Center",21,11,-10,-47.6190476190476
"Beale at Market",180,159,-21,-11.6666666666667
"Broadway St at Battery St",90,143,53,58.8888888888889
"California Ave Caltrain Station",20,16,-4,-20
"Castro Street and El Camino Real",33,27,-6,-18.1818181818182
"Civic Center BART (7th at Market)",156,120,-36,-23.0769230769231
"Clay at Battery",91,107,16,17.5824175824176
"Commercial at Montgomery",122,122,0,0
"Cowper at University",19,15,-4,-21.0526315789474
"Davis at Jackson",100,130,30,30
"Embarcadero at Bryant",150,150,0,0
"Embarcadero at Folsom",129,164,35,27.1317829457364
"Embarcadero at Sansome",262,364,102,38.9312977099237
"Embarcadero at Vallejo",107,134,27,25.2336448598131
"Evelyn Park and Ride",17,21,4,23.5294117647059
"Franklin at Maple",1,1,0,0
"Golden Gate at Polk",76,98,22,28.9473684210526
"Grant Avenue at Columbus Avenue",167,141,-26,-15.5688622754491
"Harry Bridges Plaza (Ferry Building)",313,420,107,34.185303514377
"Howard at 2nd",124,159,35,28.2258064516129
"Japantown",21,33,12,57.1428571428571
"Market at 10th",193,210,17,8.80829015544041
"Market at 4th",200,217,17,8.5
"Market at Sansome",302,224,-78,-25.8278145695364
"Mechanics Plaza (Market at Battery)",130,139,9,6.92307692307692
"Mezes Park",5,3,-2,-40
"MLK Library",9,17,8,88.8888888888889
"Mountain View Caltrain Station",85,98,13,15.2941176470588
"Mountain View City Hall",38,40,2,5.26315789473684
"Palo Alto Caltrain Station",29,32,3,10.3448275862069
"Park at Olive",12,9,-3,-25
"Paseo de San Antonio",26,20,-6,-23.0769230769231
"Post at Kearney",75,115,40,53.3333333333333
"Powell at Post (Union Square)",123,113,-10,-8.13008130081301
"Powell Street BART",153,179,26,16.9934640522876
"Redwood City Caltrain Station",13,19,6,46.1538461538462
"Redwood City Medical Center",NA,3,NA,NA
"Redwood City Public Library",3,4,1,33.3333333333333
"Rengstorff Avenue / California Street",21,10,-11,-52.3809523809524
"Ryland Park",41,25,-16,-39.0243902439024
"San Antonio Caltrain Station",35,21,-14,-40
"San Antonio Shopping Center",34,14,-20,-58.8235294117647
"San Francisco Caltrain (Townsend at 4th)",542,451,-91,-16.789667896679
"San Francisco Caltrain 2 (330 Townsend)",312,489,177,56.7307692307692
"San Francisco City Hall",56,36,-20,-35.7142857142857
"San Jose City Hall",26,17,-9,-34.6153846153846
"San Jose Civic Center",14,24,10,71.4285714285714
"San Jose Diridon Caltrain Station",116,102,-14,-12.0689655172414
"San Mateo County Center",5,5,0,0
"San Pedro Square",28,27,-1,-3.57142857142857
"San Salvador at 1st",23,8,-15,-65.2173913043478
"Santa Clara at Almaden",33,26,-7,-21.2121212121212
"Santa Clara County Civic Center",16,9,-7,-43.75
"SJSU - San Salvador at 9th",27,23,-4,-14.8148148148148
"SJSU 4th at San Carlos",11,11,0,0
"South Van Ness at Market",127,114,-13,-10.2362204724409
"Spear at Folsom",127,135,8,6.2992125984252
"St James Park",28,19,-9,-32.1428571428571
"Stanford in Redwood City",2,12,10,500
"Steuart at Market",254,296,42,16.5354330708661
"Temporary Transbay Terminal (Howard at Beale)",274,255,-19,-6.93430656934307
"Townsend at 7th",220,279,59,26.8181818181818
"University and Emerson",12,16,4,33.3333333333333
"Washington at Kearney",61,71,10,16.3934426229508
"Yerba Buena Center of the Arts (3rd @ Howard)",107,88,-19,-17.7570093457944
