"station_name","total_trips"
"San Francisco Caltrain 2 (330 Townsend)",489
"San Francisco Caltrain (Townsend at 4th)",451
"Harry Bridges Plaza (Ferry Building)",420
"Embarcadero at Sansome",364
"2nd at Townsend",330
"Steuart at Market",296
"Townsend at 7th",279
"Temporary Transbay Terminal (Howard at Beale)",255
"Market at Sansome",224
"Market at 4th",217
"Market at 10th",210
"Powell Street BART",179
"Embarcadero at Folsom",164
"Beale at Market",159
"Howard at 2nd",159
"2nd at Folsom",157
"2nd at South Park",152
"Embarcadero at Bryant",150
"Broadway St at Battery St",143
"Grant Avenue at Columbus Avenue",141
"Mechanics Plaza (Market at Battery)",139
"Spear at Folsom",135
"Embarcadero at Vallejo",134
"5th at Howard",130
"Davis at Jackson",130
"Commercial at Montgomery",122
"Civic Center BART (7th at Market)",120
"Post at Kearney",115
"South Van Ness at Market",114
"Powell at Post (Union Square)",113
"Clay at Battery",107
"San Jose Diridon Caltrain Station",102
"Golden Gate at Polk",98
"Mountain View Caltrain Station",98
"Yerba Buena Center of the Arts (3rd @ Howard)",88
"Washington at Kearney",71
"Mountain View City Hall",40
"San Francisco City Hall",36
"Japantown",33
"Palo Alto Caltrain Station",32
"Castro Street and El Camino Real",27
"San Pedro Square",27
"Santa Clara at Almaden",26
"Ryland Park",25
"San Jose Civic Center",24
"SJSU - San Salvador at 9th",23
"Evelyn Park and Ride",21
"San Antonio Caltrain Station",21
"Paseo de San Antonio",20
"Redwood City Caltrain Station",19
"St James Park",19
"MLK Library",17
"San Jose City Hall",17
"California Ave Caltrain Station",16
"University and Emerson",16
"Cowper at University",15
"San Antonio Shopping Center",14
"Adobe on Almaden",13
"Stanford in Redwood City",12
"Arena Green / SAP Center",11
"SJSU 4th at San Carlos",11
"Rengstorff Avenue / California Street",10
"Park at Olive",9
"Santa Clara County Civic Center",9
"San Salvador at 1st",8
"San Mateo County Center",5
"Redwood City Public Library",4
"Mezes Park",3
"Redwood City Medical Center",3
"Franklin at Maple",1
